,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,aide,help
7,mois,month
8,frère,brother
9,laisser,let
10,car,because
11,mettre,to put
12,laisse,leash
13,eux,them
14,ville,city
15,chaque,each
16,arrivé,come
17,bébé,baby
18,longtemps,long time
19,heures,hours
20,pendant,while
21,revoir,meet again
22,aucune,any
23,place,square
24,compris,understood
25,savais,knew
26,étaient,were
27,voici,here is
28,pourrais,could
29,affaire,case
30,donner,give
31,type,type
32,leurs,their
33,donné,given
34,train,train
35,corps,body
36,yeux,eyes
37,écoute,listen
38,dont,whose
39,trouve,find
40,premier,first
41,perdu,lost
42,main,hand
43,première,first
44,pouvoir,power
45,vieux,old
46,sois,be
47,tellement,so much
48,point,point
49,venu,came
50,suite,after
51,pardon,sorry
52,vers,towards
53,minutes,minutes
54,chambre,bedroom
55,mis,placed
56,aimerais,would like to
57,aujourd'hui,today
58,mari,husband
59,cause,cause
60,espère,hope
61,eau,water
62,attendez,Wait
63,parti,left
64,nouvelle,new
65,dirait,would say
66,compte,account
67,donne,given
68,fin,end
69,croire,believe
70,chérie,sweetheart
71,gros,large
72,plutôt,rather
73,aura,will have
74,filles,girls
75,jouer,to play
76,bureau,office
